id,first_name,last_name,email,mbti,self identified gender,matching gender preferences
100075,Hayley,Villegas,example100075@scrippscollege.edu,ESTJ,women,men
100076,Vanessa,Morrow,example100076@students.claremontmckenna.edu,ISTP,women,men
100077,Morgan,Humphrey,example100077@hmc.edu,ISTJ,men,"men, women"
100078,Moshe,Doyle,example100078@mymail.pomona.edu,ISFP,women,men
100079,Kataleya,Dennis,example100079@students.pitzer.edu,ISFP,women,"men, women"
100080,Casey,Klein,example100080@hmc.edu,ENFJ,women,men
100081,Callen,O’Connor,example100081@scrippscollege.edu,INTP,men,women
100082,August,Hood,example100082@mymail.pomona.edu,ENFP,men,women
100083,Sawyer,Clarke,example100083@students.claremontmckenna.edu,INFP,women,men
100084,Zavier,Beasley,example100084@students.claremontmckenna.edu,ISFP,women,men
100085,Franklin,Tucker,example100085@hmc.edu,ENTJ,men,women
100086,Diego,Cooper,example100086@students.pitzer.edu,ESFJ,men,women
100087,Rose,Potter,example100087@mymail.pomona.edu,ESFP,non-binary,"men, women, non-binary"
100088,Walter,Decker,example100088@mymail.pomona.edu,ESFJ,women,men
100089,Mercy,Davila,example100089@students.pitzer.edu,ENFP,men,"men, women"
100090,Beatrice,Christian,example100090@scrippscollege.edu,INTJ,women,men
100091,Caleb,Hood,example100091@mymail.pomona.edu,ISTJ,non-binary,"women, non-binary"
100092,Roger,McConnell,example100092@scrippscollege.edu,ESFJ,men,women
100093,Ellis,McConnell,example100093@hmc.edu,ESTJ,men,women
100094,Ismael,Alvarez,example100094@hmc.edu,ESFJ,"women, non-binary",women
100095,Karson,Boyd,example100095@students.pitzer.edu,ENTJ,"men, non-binary","women, non-binary"
100096,Franklin,Boone,example100096@scrippscollege.edu,ESTP,men,women
100097,Fatima,Truong,example100097@scrippscollege.edu,INFJ,men,"women, non-binary"
100098,Eden,McKenzie,example100098@students.pitzer.edu,INTJ,"men, non-binary",non-binary
100099,Duke,Haley,example100099@hmc.edu,INFP,men,women
100100,Aubrey,Waters,example100100@scrippscollege.edu,ISFJ,men,women
100101,Amanda,McGuire,example100101@students.claremontmckenna.edu,ENTP,women,women
100102,Lawson,Moss,example100102@mymail.pomona.edu,ESFJ,women,men
100103,Roger,Davidson,example100103@hmc.edu,INTJ,women,"women, non-binary"
100104,Aubrey,McConnell,example100104@mymail.pomona.edu,ENFJ,men,women
100105,Lucca,O’Connell,example100105@hmc.edu,ISFJ,men,women
100106,Porter,Whitaker,example100106@scrippscollege.edu,,men,women
100107,Madelynn,Bender,example100107@scrippscollege.edu,ESTP,men,non-binary
100108,Erick,McKenzie,example100108@scrippscollege.edu,INFJ,women,men
100109,Callie,Jarvis,example100109@students.claremontmckenna.edu,ENFP,men,women
100110,Conor,Nolan,example100110@students.claremontmckenna.edu,,men,women
100111,Amias,Hoover,example100111@scrippscollege.edu,ENTJ,women,men
100112,Lucy,Weaver,example100112@hmc.edu,ENTP,women,men
100113,Hannah,Davis,example100113@hmc.edu,INTJ,men,women
100114,Khaleesi,Farrell,example100114@mymail.pomona.edu,ISFJ,"women, non-binary","men, women"
100115,Cairo,Allison,example100115@scrippscollege.edu,ESTP,"men, women","women, non-binary"
100116,Valerie,Lawson,example100116@hmc.edu,ISTJ,men,women
100117,Bella,Woodard,example100117@mymail.pomona.edu,ENTJ,men,women
100118,Clyde,Ross,example100118@scrippscollege.edu,ESFJ,women,men
100119,Saul,Hull,example100119@hmc.edu,ENFP,women,men
100120,Conor,Waller,example100120@scrippscollege.edu,ISTJ,men,women
100121,Danna,Ward,example100121@students.pitzer.edu,INFP,women,men
100122,Julien,Cochran,example100122@scrippscollege.edu,ISFJ,men,"men, non-binary"
100123,Nora,Bradshaw,example100123@students.claremontmckenna.edu,INTP,women,men
100124,Dominic,Townsend,example100124@students.claremontmckenna.edu,ISFP,men,"men, women"
100125,Kamari,Garcia,example100125@students.claremontmckenna.edu,ISFP,men,non-binary
100126,Danny,Acevedo,example100126@scrippscollege.edu,INFP,non-binary,"women, non-binary"
100127,Isabelle,Neal,example100127@hmc.edu,ISFJ,women,"men, non-binary"
100128,Diego,Salazar,example100128@students.pitzer.edu,INFJ,women,men
100129,Royalty,Salgado,example100129@scrippscollege.edu,ENFP,women,"women, non-binary"
100130,Israel,Franco,example100130@hmc.edu,ESTJ,women,men
100131,Moshe,Berg,example100131@students.pitzer.edu,ESTJ,men,women
100132,Langston,McDaniel,example100132@students.claremontmckenna.edu,ENTJ,"men, women, non-binary","women, non-binary"
100133,Mack,Sweeney,example100133@scrippscollege.edu,INFP,men,women
100134,Kamari,Luna,example100134@mymail.pomona.edu,ISFJ,men,women
100135,Jasmine,Singh,example100135@hmc.edu,,non-binary,non-binary
100136,Chelsea,Davidson,example100136@students.pitzer.edu,ENTP,women,men
100137,Alaric,Knapp,example100137@hmc.edu,INTP,men,women
100138,Cesar,Parrish,example100138@students.pitzer.edu,ESTJ,women,"women, non-binary"
100139,Leah,Chambers,example100139@mymail.pomona.edu,ISFP,men,women
100140,Cataleya,McCarthy,example100140@students.claremontmckenna.edu,ENFJ,women,men
100141,Cal,Yoder,example100141@students.claremontmckenna.edu,ENFP,men,"women, non-binary"
100142,Abigail,Cummings,example100142@hmc.edu,ESTJ,men,men
100143,Renata,Briggs,example100143@scrippscollege.edu,ESTP,women,men
100144,Bjorn,Lim,example100144@students.claremontmckenna.edu,INTP,"men, non-binary",women
100145,Addison,Sparks,example100145@scrippscollege.edu,ISTJ,women,men
100146,Tristen,Best,example100146@scrippscollege.edu,ISTJ,men,non-binary
100147,Nora,Grant,example100147@students.pitzer.edu,ESFJ,"men, non-binary","men, non-binary"
100148,Anya,Griffin,example100148@hmc.edu,ESTP,men,women
100149,Alia,Glover,example100149@hmc.edu,INTJ,men,women
100150,Lyric,Pratt,example100150@scrippscollege.edu,ISFP,men,"men, women"
100151,Nathan,Peterson,example100151@scrippscollege.edu,ENFP,men,"men, women, non-binary"
100152,Lina,Grimes,example100152@students.pitzer.edu,ISFJ,men,women
100153,Charlie,Maddox,example100153@students.pitzer.edu,ENFJ,men,women
100154,Milani,Kramer,example100154@hmc.edu,ESTJ,men,men
100155,Canaan,Colon,example100155@students.claremontmckenna.edu,ISTP,men,women
100156,Chanel,Harper,example100156@mymail.pomona.edu,ENTJ,men,women
100157,Deborah,Preston,example100157@mymail.pomona.edu,ISFP,women,men
100158,Ephraim,Pham,example100158@hmc.edu,ISTJ,women,men
100159,Poppy,Watkins,example100159@mymail.pomona.edu,ESFJ,women,men
100160,Anthony,Welch,example100160@students.claremontmckenna.edu,INFP,non-binary,non-binary
100161,Adley,Villa,example100161@mymail.pomona.edu,ISTP,women,men
100162,Stormi,Moreno,example100162@students.pitzer.edu,ESFP,non-binary,"men, women"
100163,Adrianna,Dejesus,example100163@hmc.edu,INTP,non-binary,"women, non-binary"
100164,Kiaan,Ortiz,example100164@scrippscollege.edu,ESFP,"men, women, non-binary","men, women"
100165,Jordan,Hutchinson,example100165@students.claremontmckenna.edu,INTJ,women,men
100166,Canaan,Moss,example100166@scrippscollege.edu,ESFJ,non-binary,non-binary
100167,Mathias,Cain,example100167@students.claremontmckenna.edu,ISTP,men,"men, women"
100168,Viviana,Christian,example100168@mymail.pomona.edu,INTJ,women,women
100169,Kaden,Hudson,example100169@scrippscollege.edu,ENTJ,women,men
100170,Max,Mahoney,example100170@mymail.pomona.edu,ESTP,women,men
100171,Alani,Garrison,example100171@students.claremontmckenna.edu,ESFJ,non-binary,men
100172,Mariam,Farmer,example100172@hmc.edu,ENFJ,women,men
100173,Sylvia,Cochran,example100173@students.pitzer.edu,ISTJ,men,women
100174,Joelle,Ho,example100174@mymail.pomona.edu,ISFP,men,women
100175,Ainsley,Casey,example100175@students.pitzer.edu,ENFP,women,men
100176,Ellianna,Bradley,example100176@scrippscollege.edu,ISFP,men,women
100177,Aviana,Hicks,example100177@scrippscollege.edu,INFJ,men,women
100178,Wynter,Stephenson,example100178@scrippscollege.edu,ENTJ,women,men
100179,Leilani,Lee,example100179@students.claremontmckenna.edu,ISFJ,men,women
100180,Soren,Farmer,example100180@students.claremontmckenna.edu,ENFP,women,men
100181,Luke,Farley,example100181@students.claremontmckenna.edu,ESTJ,women,non-binary
100182,Emanuel,Barr,example100182@hmc.edu,INTJ,women,"men, women"
100183,Mara,Dickson,example100183@students.pitzer.edu,ISTJ,women,men
100184,Noah,Sanford,example100184@mymail.pomona.edu,ESFP,men,women
100185,Bria,Bell,example100185@scrippscollege.edu,INTP,men,women
100186,Arya,Avery,example100186@scrippscollege.edu,ENTJ,men,women
100187,Jericho,Swanson,example100187@hmc.edu,INTJ,women,men
100188,Reed,Ho,example100188@hmc.edu,INFJ,men,"men, non-binary"
100189,Mauricio,Becker,example100189@mymail.pomona.edu,ISTP,women,men
100190,Bonnie,Boyd,example100190@scrippscollege.edu,ENFJ,men,women
100191,Eliseo,Martinez,example100191@scrippscollege.edu,ISFP,"men, non-binary",non-binary
100192,Kailey,Tucker,example100192@scrippscollege.edu,ISFJ,men,women
100193,Lillian,Knapp,example100193@hmc.edu,ESTJ,women,men
100194,Jakari,Garner,example100194@students.claremontmckenna.edu,ENTJ,men,"men, non-binary"
100195,Aliyah,Murphy,example100195@mymail.pomona.edu,ISFP,women,men
100196,Aliyah,Martin,example100196@scrippscollege.edu,ESFJ,women,men
100197,Alana,Lloyd,example100197@students.claremontmckenna.edu,ISTP,non-binary,"men, women, non-binary"
100198,Maisie,Richmond,example100198@hmc.edu,ENFP,women,men
100199,Elle,Brady,example100199@hmc.edu,INFJ,men,women
100200,Amina,Leon,example100200@students.pitzer.edu,ESFP,"women, non-binary",women
100201,Jakari,Lyons,example100201@students.pitzer.edu,ENTJ,men,women
100202,Terrance,Fox,example100202@scrippscollege.edu,ISTP,men,"men, women, non-binary"
100203,Moshe,Brock,example100203@mymail.pomona.edu,ENTP,men,women
100204,Harold,Salgado,example100204@hmc.edu,INTP,men,women
100205,Brinley,Valentine,example100205@students.claremontmckenna.edu,ESTJ,women,men
100206,Ezra,Little,example100206@scrippscollege.edu,ISTJ,men,women
100207,Jaziel,Garrison,example100207@scrippscollege.edu,ISFJ,men,women
100208,Ramona,Waller,example100208@scrippscollege.edu,ESTP,men,women
100209,Korbin,Corona,example100209@students.claremontmckenna.edu,ISTP,non-binary,"women, non-binary"
100210,Bethany,Guzman,example100210@students.claremontmckenna.edu,ISFJ,women,men
100211,Chandler,Hayes,example100211@students.pitzer.edu,ENFP,women,men
100212,Cleo,Olsen,example100212@students.claremontmckenna.edu,INFJ,men,women
100213,Elena,Mays,example100213@students.claremontmckenna.edu,ISTJ,women,men
100214,Mckenzie,Bartlett,example100214@mymail.pomona.edu,ENFJ,men,"men, non-binary"
100215,Fallon,McKenzie,example100215@students.pitzer.edu,ENTJ,men,non-binary
100216,Briar,Brady,example100216@students.pitzer.edu,INTJ,men,women
100217,Mateo,Wiggins,example100217@mymail.pomona.edu,ISTJ,men,women
100218,Nyomi,Hoover,example100218@scrippscollege.edu,ENFP,"men, non-binary",women
100219,Kamila,Lyons,example100219@scrippscollege.edu,ESTJ,men,women
100220,Alexis,Nolan,example100220@mymail.pomona.edu,ESTJ,men,women
100221,Margaret,Humphrey,example100221@students.claremontmckenna.edu,ESFP,non-binary,"women, non-binary"
100222,Harley,Nunez,example100222@mymail.pomona.edu,ENFP,men,"men, women"
100223,Diego,Compton,example100223@hmc.edu,ENFJ,women,"men, women"
100224,Kataleya,Jacobs,example100224@scrippscollege.edu,ESFP,men,"women, non-binary"
100225,Johan,Harding,example100225@mymail.pomona.edu,ISFJ,men,women
100226,Jagger,Snyder,example100226@mymail.pomona.edu,ISTJ,men,women
100227,Eliza,Wall,example100227@scrippscollege.edu,ENFP,men,women
100228,Colette,Burton,example100228@students.claremontmckenna.edu,INFJ,men,men
100229,Capri,Lamb,example100229@scrippscollege.edu,ENTP,women,men
100230,Alijah,Greer,example100230@mymail.pomona.edu,INFP,non-binary,"men, women"
100231,Graysen,Mathis,example100231@hmc.edu,INTJ,men,women
100232,Lincoln,Tanner,example100232@hmc.edu,ENFP,women,men
100233,Mateo,Felix,example100233@students.claremontmckenna.edu,ESFJ,men,women
100234,Hadassah,Zimmerman,example100234@hmc.edu,INFJ,non-binary,non-binary
100235,Alani,Barron,example100235@students.pitzer.edu,ESFJ,men,women
100236,Camille,Parrish,example100236@hmc.edu,ISTP,women,men
100237,Azrael,McDaniel,example100237@scrippscollege.edu,ENFP,men,women
100238,Braelyn,Winters,example100238@students.claremontmckenna.edu,ENTP,"men, non-binary","men, women"
100239,Jaylah,Browning,example100239@students.pitzer.edu,INTP,"men, women","men, non-binary"
100240,Harlow,Zavala,example100240@scrippscollege.edu,INFP,women,men
100241,Elina,Alvarado,example100241@hmc.edu,ISTP,women,men
100242,Elizabeth,Paul,example100242@students.pitzer.edu,ISFP,"men, women, non-binary",women
100243,Andres,Hunter,example100243@mymail.pomona.edu,ISTJ,women,"men, women"
100244,Armando,Morton,example100244@mymail.pomona.edu,ESTJ,men,women
100245,Hannah,Palmer,example100245@mymail.pomona.edu,ISFP,"men, women","men, women, non-binary"
100246,Landyn,Simpson,example100246@hmc.edu,ISFJ,women,men
100247,Celine,Salgado,example100247@students.pitzer.edu,ESTP,men,women
100248,Kiaan,Colon,example100248@students.claremontmckenna.edu,ENTJ,women,non-binary
100249,Julissa,O’Donnell,example100249@students.pitzer.edu,ESTP,men,women
100250,Layton,Wells,example100250@students.pitzer.edu,ESFP,"women, non-binary","men, women"
100251,Mateo,Wyatt,example100251@mymail.pomona.edu,INTP,men,men
100252,Ismael,Zavala,example100252@scrippscollege.edu,ESTP,non-binary,"men, women, non-binary"
100253,Raylan,Valentine,example100253@scrippscollege.edu,ESTP,women,men
100254,Lena,Chase,example100254@scrippscollege.edu,ENTJ,non-binary,men
100255,Colter,Valentine,example100255@scrippscollege.edu,ENFP,women,"men, women, non-binary"
100256,Mohamed,Wilson,example100256@hmc.edu,INTJ,men,women
100257,Bianca,Bryan,example100257@mymail.pomona.edu,ENFP,women,"men, women, non-binary"
100258,Nolan,Goodwin,example100258@students.pitzer.edu,ESFP,women,men
100259,Aisha,Brandt,example100259@scrippscollege.edu,ESFP,women,women
100260,Azrael,Contreras,example100260@students.pitzer.edu,ESFJ,women,men
100261,Callen,Dennis,example100261@students.pitzer.edu,INFJ,men,women
100262,Karsyn,Waller,example100262@mymail.pomona.edu,ISTJ,women,men
100263,Jad,Ruiz,example100263@mymail.pomona.edu,ESFP,men,women
100264,Winter,Leal,example100264@students.pitzer.edu,ESTJ,men,women
100265,Kayson,Mahoney,example100265@mymail.pomona.edu,ISTJ,men,women
100266,Arabella,Gomez,example100266@scrippscollege.edu,ISFJ,"women, non-binary",non-binary
100267,Russell,Bradshaw,example100267@mymail.pomona.edu,ISTJ,women,men
100268,Jordan,Nicholson,example100268@scrippscollege.edu,ESFP,men,women
100269,Cash,Hicks,example100269@students.claremontmckenna.edu,ISTP,men,women
100270,Kimora,Curry,example100270@students.pitzer.edu,INFJ,men,women
100271,Noah,French,example100271@students.pitzer.edu,INTJ,men,women
100272,Jada,Rollins,example100272@hmc.edu,ENFJ,men,women
100273,Wesley,Winters,example100273@students.claremontmckenna.edu,,women,"men, women, non-binary"
100274,Axel,Schmidt,example100274@students.claremontmckenna.edu,ISFP,women,men
100275,Ismael,Santos,example100275@scrippscollege.edu,ISTP,women,men
100276,Angelo,Lam,example100276@mymail.pomona.edu,,men,non-binary
100277,Thiago,Fry,example100277@mymail.pomona.edu,ESFP,"women, non-binary","men, women, non-binary"
100278,Sam,Nunez,example100278@scrippscollege.edu,ENFJ,men,women
100279,Porter,Shelton,example100279@students.pitzer.edu,ISTP,women,"men, women, non-binary"
100280,London,Lewis,example100280@scrippscollege.edu,INFJ,men,women
100281,Lane,Shannon,example100281@scrippscollege.edu,ISTP,men,non-binary
100282,Reina,Hicks,example100282@mymail.pomona.edu,INFJ,"men, women",non-binary
100283,Lucille,Guevara,example100283@scrippscollege.edu,ESTJ,men,women
100284,Anna,Atkinson,example100284@scrippscollege.edu,ENFJ,women,"women, non-binary"
100285,Major,Velazquez,example100285@mymail.pomona.edu,ENFJ,women,men
100286,Sydney,Sweeney,example100286@students.pitzer.edu,ESFP,"men, women",women
100287,Abraham,Yoder,example100287@students.pitzer.edu,ENFP,men,women
100288,Ainsley,Santos,example100288@students.claremontmckenna.edu,INTJ,men,women
100289,Adrianna,Hunt,example100289@students.claremontmckenna.edu,ISFJ,men,women
100290,Autumn,Daniels,example100290@students.pitzer.edu,ENTJ,men,women
100291,Lilliana,Waller,example100291@scrippscollege.edu,,non-binary,"men, women, non-binary"
100292,Maleah,Peterson,example100292@hmc.edu,INFJ,women,men
100293,Hadassah,Cuevas,example100293@scrippscollege.edu,ESTP,men,"women, non-binary"
100294,Eliseo,Clark,example100294@students.claremontmckenna.edu,,women,men
100295,Khaleesi,McCall,example100295@students.claremontmckenna.edu,INFJ,women,men
100296,Dorian,Contreras,example100296@students.pitzer.edu,ENTJ,men,women
100297,Ismael,Navarro,example100297@hmc.edu,INFJ,non-binary,"men, non-binary"
100298,Bjorn,Kramer,example100298@scrippscollege.edu,ESTP,"men, women","men, women, non-binary"
100299,Diego,Nash,example100299@students.claremontmckenna.edu,ISTJ,men,"men, women"
100300,Thatcher,Meyers,example100300@mymail.pomona.edu,ISFJ,men,women
100301,Lucy,Hudson,example100301@students.pitzer.edu,ENFP,men,women
100302,Truett,Golden,example100302@students.claremontmckenna.edu,INFJ,"men, women","men, non-binary"
100303,Laney,Gibson,example100303@students.claremontmckenna.edu,INTJ,men,women
100304,Kamiyah,Todd,example100304@students.claremontmckenna.edu,ENFJ,"men, women","men, non-binary"
100305,Rayna,Gilmore,example100305@mymail.pomona.edu,ESFP,non-binary,non-binary
100306,Braelyn,Welch,example100306@hmc.edu,ENTJ,men,non-binary
100307,Alexis,Waller,example100307@students.claremontmckenna.edu,,"women, non-binary",men
100308,Georgia,Palmer,example100308@students.claremontmckenna.edu,ENFJ,women,non-binary
100309,River,Leon,example100309@students.pitzer.edu,ENTP,women,women
100310,Paola,Oliver,example100310@hmc.edu,ENTJ,non-binary,"men, women"
100311,Jack,Wiggins,example100311@hmc.edu,ISFP,women,men
100312,Grey,Marks,example100312@students.claremontmckenna.edu,ESTP,women,men
100313,Scott,McDaniel,example100313@scrippscollege.edu,ENTP,women,men
100314,Whitley,Zuniga,example100314@mymail.pomona.edu,ENFJ,men,women
100315,Sage,Garner,example100315@mymail.pomona.edu,ISFP,men,non-binary
100316,Waylon,Cochran,example100316@students.pitzer.edu,INTP,women,"men, women"
100317,Ezra,Crosby,example100317@mymail.pomona.edu,ENTP,men,women
100318,Bethany,Marquez,example100318@hmc.edu,INTJ,men,"men, non-binary"
100319,Antonio,Day,example100319@scrippscollege.edu,INTP,men,women
100320,Isabel,Montgomery,example100320@mymail.pomona.edu,ESFJ,men,men
100321,Anika,Gentry,example100321@students.pitzer.edu,ISTP,men,women
100322,Scarlette,Washington,example100322@students.pitzer.edu,INFJ,non-binary,"women, non-binary"
100323,Walker,Baker,example100323@students.claremontmckenna.edu,INTJ,women,non-binary
100324,Johanna,Valentine,example100324@hmc.edu,INFP,women,men
100325,Everett,Camacho,example100325@students.claremontmckenna.edu,ESFJ,women,"men, non-binary"
100326,Kingsley,Francis,example100326@mymail.pomona.edu,ESFJ,non-binary,"women, non-binary"
100327,Whitley,Strickland,example100327@hmc.edu,ENFP,men,women
100328,Axton,Petersen,example100328@students.pitzer.edu,INFP,men,women
100329,Anna,Swanson,example100329@mymail.pomona.edu,ENTJ,women,men
100330,Gage,Wilkinson,example100330@students.pitzer.edu,INTJ,non-binary,non-binary
100331,Estella,Fitzpatrick,example100331@students.pitzer.edu,ESTP,men,women
100332,Cadence,Whitaker,example100332@scrippscollege.edu,INTJ,women,men
100333,Sylas,Fleming,example100333@students.pitzer.edu,ISTP,women,men
100334,Joey,Erickson,example100334@hmc.edu,ISTP,"men, non-binary",women
100335,Madalyn,Donaldson,example100335@hmc.edu,ENTJ,"men, women, non-binary","men, women"
100336,Maliyah,Stuart,example100336@hmc.edu,ESFP,"men, women","men, non-binary"
100337,Paisleigh,Osborne,example100337@mymail.pomona.edu,ISTP,women,"men, women"
100338,Cassandra,Valentine,example100338@scrippscollege.edu,INTP,women,men
100339,Mercy,Dawson,example100339@hmc.edu,ENTJ,men,"men, women, non-binary"
100340,Adriana,Barton,example100340@students.claremontmckenna.edu,ENTJ,women,"men, women"
100341,Oaklyn,Villegas,example100341@mymail.pomona.edu,INTJ,"men, women",men
100342,Peter,Esparza,example100342@hmc.edu,ENTP,women,men
100343,Elian,Francis,example100343@students.claremontmckenna.edu,ESTP,men,women
100344,Mila,Parker,example100344@scrippscollege.edu,ENTJ,men,women
100345,Alina,Morrow,example100345@students.pitzer.edu,,"women, non-binary","men, women"
100346,Faye,Church,example100346@hmc.edu,ENFP,men,women
100347,Zachariah,Wells,example100347@mymail.pomona.edu,ISTJ,"men, non-binary","women, non-binary"
100348,Hanna,Cuevas,example100348@scrippscollege.edu,ESTJ,non-binary,"women, non-binary"
100349,Tanner,Santos,example100349@students.pitzer.edu,ISTJ,non-binary,non-binary
100350,Lucille,Hill,example100350@students.claremontmckenna.edu,ESTP,women,men
100351,Cash,Bond,example100351@scrippscollege.edu,ESFP,men,"women, non-binary"
100352,Wyatt,Wang,example100352@students.claremontmckenna.edu,INFP,men,women
100353,Kylan,Lam,example100353@students.pitzer.edu,ISTP,men,women
100354,Elisha,King,example100354@students.pitzer.edu,INTP,men,women
100355,Joseph,Morrow,example100355@hmc.edu,INFP,men,women
100356,Sebastian,Collier,example100356@scrippscollege.edu,ISFJ,women,men
100357,Raegan,Mora,example100357@hmc.edu,ESTP,men,men
100358,Kairo,Robertson,example100358@hmc.edu,,women,men
100359,Kamiyah,Weeks,example100359@hmc.edu,ISTP,women,men
100360,Isabelle,Bullock,example100360@students.claremontmckenna.edu,ESTP,men,women
100361,Robin,Stevenson,example100361@hmc.edu,ENFJ,non-binary,"men, non-binary"
